# D_l  z_obs  sigma_D_l  sigma_z  v_rms
2.957151384469341906e+02 8.613770927994307547e-02 8.720930065000000297e+01 5.436190110521633111e-03 5.000000000000000000e+02
2.364036683996322097e+02 5.871582853935112395e-02 5.360962717499999997e+01 5.257051283495945034e-03 5.000000000000000000e+02
1.986425716179377901e+02 5.304205690453224487e-02 4.747738661750000233e+01 5.226050910471720032e-03 5.000000000000000000e+02
7.783004248716274276e+01 2.229062815110508661e-02 2.029491383499999912e+01 5.093594495707707420e-03 5.000000000000000000e+02
1.252698238800077348e+02 2.317744154500457968e-02 2.222943470499999918e+01 5.102699805044218391e-03 5.000000000000000000e+02
2.797148458220787006e+02 7.397219805601362719e-02 7.706910614500000634e+01 5.380520705326620641e-03 5.000000000000000000e+02
1.080541755459888407e+02 3.431545870953837951e-02 2.882585540499999865e+01 5.134288910019170135e-03 5.000000000000000000e+02
1.620038414676149330e+02 3.648241901812417087e-02 3.649829916249999684e+01 5.171550210873689622e-03 5.000000000000000000e+02
4.200748306082959971e+02 8.110973050202298362e-02 7.509563502999999685e+01 5.369853322974742389e-03 5.000000000000000000e+02
2.032377479826565150e+02 4.701865074493757901e-02 4.456382355499999903e+01 5.211402110827785712e-03 5.000000000000000000e+02
2.249898202417705022e+02 5.286751232647422111e-02 5.615486862499999887e+01 5.270161944811225553e-03 5.000000000000000000e+02
1.660640219134079985e+02 6.225302177136576159e-02 7.134399817499999585e+01 5.349584380903758297e-03 5.000000000000000000e+02
7.212101739326269012e+01 1.943126986666585815e-02 2.294344862000000163e+01 5.106119092797425235e-03 5.000000000000000000e+02
2.722749506448663510e+02 4.305667384753464333e-02 4.170923532749999652e+01 5.197120660755470689e-03 5.000000000000000000e+02
3.316365823773216448e+02 5.864216746916205147e-02 6.520464228250000360e+01 5.317187659555244750e-03 5.000000000000000000e+02
3.725017392755436276e+02 5.960890804219341754e-02 6.106745357749999670e+01 5.295466906544730318e-03 5.000000000000000000e+02
2.768264896992751574e+02 4.091597940953742296e-02 5.491776754749999867e+01 5.263789577568868221e-03 5.000000000000000000e+02
1.700952036616451437e+02 3.609508830493433212e-02 3.072607866499999929e+01 5.143388746849768267e-03 5.000000000000000000e+02
2.704324319986743035e+02 3.569206826272866562e-02 4.043909633250000013e+01 5.190887994592203666e-03 5.000000000000000000e+02
2.234928703844761628e+02 5.560990299144260435e-02 5.556420242499999773e+01 5.267119394762160255e-03 5.000000000000000000e+02
5.013837754743299229e+02 1.085372594608286362e-01 1.049553519149999943e+02 5.537367261560541092e-03 5.000000000000000000e+02
3.141456871322826032e+02 6.446920142032259993e-02 6.545482688250000081e+01 5.318507856806196400e-03 5.000000000000000000e+02
9.804207396922467410e+01 3.309232863736207009e-02 2.965151490499999909e+01 5.138242848951395624e-03 5.000000000000000000e+02
2.962694745063798223e+02 9.486623245548327088e-02 8.943834099500000434e+01 5.448531429158432263e-03 5.000000000000000000e+02
5.600023037183166252e+01 3.199705859515714762e-02 3.002126111000000108e+01 5.140013498856097623e-03 5.000000000000000000e+02
1.774623066470728077e+02 3.689705641311811363e-02 3.596047060499999759e+01 5.168911046289998736e-03 5.000000000000000000e+02
1.288644310645564985e+02 2.120892453542184281e-02 3.503162177250000298e+01 5.164353116243049040e-03 5.000000000000000000e+02
1.336302829933792395e+02 3.759125788362839560e-02 4.021691781749999706e+01 5.189797748156107712e-03 5.000000000000000000e+02
2.700761180328857449e+02 8.802731933130790443e-02 9.249921920750000481e+01 5.465852917425647814e-03 5.000000000000000000e+02
1.955924711218010543e+02 3.617434073192728194e-02 4.122293495750000147e+01 5.194734348805979222e-03 5.000000000000000000e+02
1.754234460655838177e+02 6.442949419032170666e-02 5.954487788250000335e+01 5.287624045796086858e-03 5.000000000000000000e+02
2.245307248016450501e+02 5.910605048355769414e-02 6.342781715999999648e+01 5.307811544310160265e-03 5.000000000000000000e+02
3.877018816906165455e+01 1.116481221119117878e-02 9.027795160000000152e+00 5.041163079992840024e-03 5.000000000000000000e+02
1.581984044565443241e+02 4.886437039305213670e-02 5.698317597500000176e+01 5.274428595871309168e-03 5.000000000000000000e+02
1.958840286075352992e+02 5.170146148756370880e-02 5.633720909249999664e+01 5.271101189342806449e-03 5.000000000000000000e+02
1.759832464027070387e+02 4.728765420539220166e-02 4.297301945750000129e+01 5.203403872932418732e-03 5.000000000000000000e+02
3.578815040360901776e+02 7.819420104813806782e-02 7.550380251750000582e+01 5.372059627703336566e-03 5.000000000000000000e+02
1.107732739418421204e+02 2.952040291620639662e-02 2.660350057000000135e+01 5.123646441418826768e-03 5.000000000000000000e+02
1.969810711529638922e+02 6.038834719933127565e-02 5.560553329999999761e+01 5.267332292090225708e-03 5.000000000000000000e+02
6.848694040763837165e+01 1.946735473538977607e-02 1.683490546999999893e+01 5.077425890810306590e-03 5.000000000000000000e+02
9.544309599155573665e+01 2.672818305748063047e-02 3.349739220749999902e+01 5.156824538084199550e-03 5.000000000000000000e+02
4.198704520302200649e+02 9.354308803395766647e-02 8.924708937500000161e+01 5.447472544249722624e-03 5.000000000000000000e+02
